"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"EPIC: Ecommerce Web - nopCommerce","Creacion de Ordenes","TC-Order-02: Eliminar productos del carrito","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Registro de Nuevo Clientes","TC-Register-01: Registro exitoso","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Creacion de Ordenes","TC-Order-03: Modificar cantidad de productos","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Login de Usuario","TC-Login-02: Inicio de sesión con credenciales incorrectas","0","1","0","0","0"
"EPIC: Ecommerce Web - nopCommerce","Creacion de Ordenes","TC-Order-04: Creación de orden exitosa","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Creacion de Ordenes","TC-Order-01: Añadir productos al carrito","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Login de Usuario","TC-Login-04: Correo electrónico no registrado","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Registro de Nuevo Clientes","TC-Register-03: Formato de correo electrónico válido","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Login de Usuario","TC-Login-05: Contraseña olvidada","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Login de Usuario","TC-Login-01: Inicio de sesión exitoso","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Registro de Nuevo Clientes","TC-Register-05: Confirmación de contraseña","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Registro de Nuevo Clientes","TC-Register-06: Correo electrónico único","0","0","1","0","0"
"EPIC: Ecommerce Web - nopCommerce","Registro de Nuevo Clientes","TC-Register-02: Registro con campos obligatorios faltantes","0","1","0","0","0"
